,29,1,1
25,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
1,0.02,0.196,0.122
1,0.028,0.212,0.142
1,0.036,0.228,0.162
1,0.044,0.256,0.182
1,0.056,0.284,0.218
1,0.068,0.314,0.206
1,0.148,0.424,0.226
1,0.228,0.534,0.328
1,0.208,0.492,0.306
1,0.494,0.534,0.502
1,0.416,0.416,0.416
1,0.338,0.338,0.338
1,0.26,0.26,0.26
1,0.246,0.246,0.246
1,0.39,0.39,0.39
1,0.294,0.294,0.294
1,0.322,0.322,0.322
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,0.35,0.35,0.35
1,1,1,1
