,"1"
2,"23,352"
1,"64,044"
1,"25,992"
1,"64,284"
1,"45,204"
1,"30,144"
1,"38,016"
1,"47,112"
1,"70,212"
1,"55,308"
1,"105,744"
1,"76,056"
1,"144,624"
1,"51,288"
1,"157,992"
1,"91,596"
1,"75,708"
1,"100,152"
1,"161,796"
1,"249,396"
1,"129,312"
1,"182,400"
1,"180,396"
1,"252,084"
1,"252,156"
1,"404,604"
1,"1,171,284"
1,"1,740,600"
1,"4,625,616"
1,"9,022,116"
1,"10,591,596"
1,"15,193,908"
1,"17,960,928"
1,"22,323,240"
1,"23,503,056"
1,"27,141,816"
1,"29,774,808"
1,"31,565,196"
1,"36,016,320"
1,"41,164,980"
1,"43,243,320"
1,"43,054,620"
1,"45,950,196"
1,"44,340,756"
1,"47,378,400"
1,"48,076,092"
1,"49,785,576"
1,"33,331,207"
1,"33,433,272"
1,"27,950,364"
1,"30,166,380"
1,"23,633,700"
1,"20,717,772"
1,"20,229,984"
1,"18,230,736"
1,"16,593,144"
1,"16,797,444"
1,"15,587,736"
1,"13,595,460"
1,"11,115,024"
1,"10,355,304"
1,"10,169,772"
1,"9,404,088"
1,"7,847,640"
1,"7,016,328"
1,"6,339,876"
1,"5,088,528"
1,"4,558,884"
1,"3,404,724"
1,"2,414,964"
1,"2,359,368"
1,"1,722,552"
1,"997,692"
1,"797,292"
1,"813,840"
1,"457,668"
1,"267,336"
1,"251,376"
1,"82,428"
