,9,10,5,5,5
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0
1,0,0,0.02,0.03,0.03
1,0,0,0.02,0.03,0.03
1,0,0,0.02,0.03,0.5
1,0,0,0.02,0.06,0.5
1,0,0,0.02,0.07,0.5
1,0,0,0.03,0.07,0.43
1,0,0,0.03,0.07,0.4
1,0,0,0.03,0.08,0.47
1,0,0,0.03,0.12,0.44
1,0,0,0.06,0.28,0.47
1,0,0,0.08,0.55,0.3
1,0,0,0.08,0.32,0.25
1,0,0,0.08,0.3,0.22
1,0,0,0.08,0.28,0.2
1,0,0,0.25,0.35,0.18
1,0.1,0.33,0.55,0.3,0.24
1,0.25,0.18,0.21,0.18,0.22
1,0.25,0.16,0.2,0.18,0.25
1,0.25,0.16,0.15,0.25,0.25
1,0.25,0.17,0.15,0.18,0.25
1,0.25,0.24,0.25,0.25,0.25
1,0.25,0.16,0.25,0.2,0.3
1,0.25,0.23,0.3,0.18,0.35
1,0.25,0.23,0.1,0.18,0.2
1,0.25,0.23,0.25,0.4,0.2
1,0.75,0.23,0.25,0.35,0.25
1,0.75,0.23,0.25,0.35,0.25
1,0.75,0.23,0.25,0.35,0.25
1,0.75,0.23,0.25,0.35,0.25
1,0.75,0.23,0.25,0.35,0.25
