,0,1,2,3,4,5,6,7,8,9,10
5,0.089,0.079,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715
5,0.089,0.079,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715
5,0.089,0.079,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715
5,0.089,0.079,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0665
5,0.089,0.079,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0565
5,0.089,0.079,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0515
5,0.089,0.079,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.049
5,0.089,0.079,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.044
5,0.089,0.079,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.039
5,0.089,0.079,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.0715,0.034
